booking_id,devotee_name,age,darshan_type,darshan_date,darshan_time,persons,booking_status
TTD1001,Tanush,21,Special Entry Darshan,2026-09-01,10:00 AM,2,Confirmed
TTD1002,Ravi Kumar,35,Special Entry Darshan,2026-09-02,08:00 AM,3,Confirmed
TTD1003,Priya Sharma,28,Divya Darshan,2026-09-03,06:00 AM,2,Confirmed
TTD1004,Suresh Reddy,42,Special Entry Darshan,2026-09-04,02:00 PM,4,Pending
TTD1005,Anjali,31,Seva,2026-09-05,07:00 AM,1,Confirmed
TTD1006,Vikram,25,Special Entry Darshan,2026-09-06,04:00 PM,2,Cancelled
TTD1007,Meena Rao,39,Divya Darshan,2026-09-07,05:00 AM,3,Confirmed
TTD1008,Arjun,30,Special Entry Darshan,2026-09-08,11:00 AM,2,Confirmed
TTD1009,Kavya,26,Seva,2026-09-09,08:00 AM,1,Pending
TTD1010,Ramesh,48,Special Entry Darshan,2026-09-10,03:00 PM,5,Confirmed
